Time	Temperature	Humidity	Light	CO2	Humidity_Ratio	Occupancy
2015-02-02 14:19	23.700	26.272	585.200	749.200	0.00476416302	1
2015-02-02 14:19	23.718	26.290	578.400	760.400	0.00477266099	1
2015-02-02 14:21	23.730	26.230	572.667	769.667	0.00476515255	1
2015-02-02 14:22	23.723	26.125	493.750	774.750	0.00474377336	1
2015-02-02 14:23	23.754	26.200	488.600	779.000	0.00476659400	1
2015-02-02 14:23	23.760	26.260	568.667	790.000	0.00477933243	1
2015-02-02 14:25	23.730	26.290	536.333	798.000	0.00477613633	1
2015-02-02 14:25	23.754	26.290	509.000	797.000	0.00478309371	1
2015-02-02 14:26	23.754	26.350	476.000	803.200	0.00479409400	1
2015-02-02 14:28	23.736	26.390	510.000	809.000	0.00479618871	1
2015-02-02 14:29	23.745	26.445	481.500	815.250	0.00480888622	1
2015-02-02 14:30	23.700	26.560	481.800	824.000	0.00481679337	1
2015-02-02 14:31	23.700	26.600	475.250	832.000	0.00482410384	1
2015-02-02 14:31	23.700	26.700	469.000	845.333	0.00484238076	1
2015-02-02 14:32	23.700	26.774	464.000	852.400	0.00485590636	1
2015-02-02 14:34	23.700	26.890	464.000	861.000	0.00487710984	1
2015-02-02 14:35	23.700	26.973	455.000	880.000	0.00489219077	1
2015-02-02 14:36	23.600	26.890	454.000	891.000	0.00484759441	1
2015-02-02 14:37	23.640	26.976	458.000	897.600	0.00487504478	1
2015-02-02 14:38	23.650	27.050	464.000	900.500	0.00489149159	1
2015-02-02 14:38	23.640	27.100	473.000	908.800	0.00489763024	1
2015-02-02 14:39	23.600	27.160	464.000	918.000	0.00489665185	1
2015-02-02 14:41	23.600	27.236	498.400	925.200	0.00491046199	1
2015-02-02 14:42	23.600	27.290	530.200	929.400	0.00492027483	1
2015-02-02 14:43	23.600	27.330	533.600	936.400	0.00492754380	1
2015-02-02 14:44	23.600	27.340	524.250	950.000	0.00492936107	1
2015-02-02 14:44	23.625	27.393	498.667	961.000	0.00494640575	1
2015-02-02 14:45	23.600	27.390	516.333	963.000	0.00493844757	1
2015-02-02 14:47	23.600	27.412	501.200	958.600	0.00494244571	1
2015-02-02 14:48	23.600	27.500	522.000	965.333	0.00495843879	1
2015-02-02 14:49	23.600	27.525	520.500	979.250	0.00496298243	1
2015-02-02 14:50	23.600	27.600	505.286	978.429	0.00497661374	1
2015-02-02 14:51	23.600	27.600	488.333	983.000	0.00497661374	1
2015-02-02 14:51	23.600	27.540	512.000	992.600	0.00496570865	1
2015-02-02 14:53	23.600	27.600	511.000	997.200	0.00497661374	1
2015-02-02 14:54	23.617	27.633	501.500	999.500	0.00498771842	1
2015-02-02 14:55	23.667	27.700	503.667	1001.000	0.00501505086	1
2015-02-02 14:55	23.600	27.700	483.167	1009.500	0.00499478975	1
2015-02-02 14:57	23.600	27.723	483.500	1019.000	0.00499887949	1
2015-02-02 14:57	23.600	27.790	473.000	1021.000	0.00501114905	1
2015-02-02 14:58	23.600	27.857	470.333	1024.667	0.00502326760	1
2015-02-02 15:00	23.600	27.804	480.143	1030.429	0.00501374584	1
2015-02-02 15:01	23.575	27.790	464.000	1026.250	0.00500354475	1
2015-02-02 15:02	23.540	27.810	474.400	1028.000	0.00499653801	1
2015-02-02 15:03	23.600	27.978	470.000	1034.800	0.00504532457	1
2015-02-02 15:04	23.525	28.000	454.000	1055.500	0.00502636676	1
2015-02-02 15:04	23.500	27.978	454.000	1055.250	0.00501475972	1
2015-02-02 15:06	23.500	28.000	454.000	1050.000	0.00501873481	1
2015-02-02 15:07	23.500	28.000	454.000	1051.250	0.00501873481	1
2015-02-02 15:08	23.500	28.000	445.000	1053.600	0.00501873481	1
2015-02-02 15:08	23.500	28.000	439.000	1055.500	0.00501873481	1
2015-02-02 15:10	23.500	28.025	444.250	1055.000	0.00502325201	1
2015-02-02 15:10	23.445	28.125	454.750	1059.500	0.00502449115	1
2015-02-02 15:11	23.390	28.180	455.800	1060.000	0.00501758227	1
2015-02-02 15:13	23.390	28.200	451.600	1073.600	0.00502117212	1
2015-02-02 15:14	23.390	28.200	451.600	1078.600	0.00502117212	1
2015-02-02 15:15	23.390	28.200	454.750	1081.000	0.00502117212	1
2015-02-02 15:16	23.390	28.223	454.750	1082.000	0.00502521074	1
2015-02-02 15:16	23.390	28.373	457.500	1088.833	0.00505228580	1
2015-02-02 15:17	23.370	28.390	464.000	1090.600	0.00504912954	1
2015-02-02 15:19	23.390	28.323	464.000	1086.000	0.00504331038	1
2015-02-02 15:20	23.373	28.445	464.000	1092.500	0.00506001703	1
2015-02-02 15:21	23.390	28.500	471.500	1103.750	0.00507502468	1
2015-02-02 15:22	23.323	28.500	475.667	1104.500	0.00505447599	1
2015-02-02 15:23	23.365	28.500	471.500	1103.500	0.00506731030	1
2015-02-02 15:23	23.290	28.500	467.750	1112.000	0.00504422920	1
2015-02-02 15:24	23.307	28.533	466.500	1105.667	0.00505530397	1
2015-02-02 15:26	23.290	28.700	464.000	1104.000	0.00507991640	1
2015-02-02 15:27	23.290	28.700	467.000	1117.200	0.00507991640	1
2015-02-02 15:28	23.290	28.675	467.750	1121.250	0.00507545528	1
2015-02-02 15:29	23.290	28.617	466.500	1115.667	0.00506504624	1
2015-02-02 15:29	23.290	28.660	459.000	1120.000	0.00507277864	1
2015-02-02 15:30	23.290	28.550	464.000	1123.750	0.00505315062	1
2015-02-02 15:32	23.290	28.600	470.000	1116.000	0.00506207230	1
2015-02-02 15:33	23.272	28.600	464.000	1126.800	0.00505652695	1
2015-02-02 15:34	23.200	28.418	464.000	1112.750	0.00500201571	1
2015-02-02 15:35	23.230	28.500	449.000	1104.500	0.00502583117	1
2015-02-02 15:36	23.290	28.500	464.000	1108.000	0.00504422920	1
2015-02-02 15:36	23.215	28.633	462.333	1127.833	0.00504492265	1
2015-02-02 15:38	23.200	28.600	469.000	1128.750	0.00503439915	1
2015-02-02 15:39	23.200	28.650	469.000	1124.250	0.00504327191	1
2015-02-02 15:40	23.200	28.620	469.000	1130.400	0.00503794823	1
2015-02-02 15:40	23.200	28.700	464.000	1138.000	0.00505214492	1
2015-02-02 15:42	23.200	28.700	456.500	1144.000	0.00505214492	1
2015-02-02 15:42	23.200	28.718	457.000	1140.000	0.00505533927	1
2015-02-02 15:43	23.200	28.790	450.250	1139.250	0.00506811698	1
2015-02-02 15:45	23.200	28.790	446.000	1167.333	0.00506811698	1
2015-02-02 15:46	23.140	28.790	451.600	1159.600	0.00504961841	1
2015-02-02 15:47	23.150	28.890	454.750	1157.750	0.00507039061	1
2015-02-02 15:48	23.150	28.890	448.000	1159.500	0.00507039061	1
2015-02-02 15:49	23.180	28.830	444.000	1156.400	0.00506903439	1
2015-02-02 15:49	23.117	28.945	444.000	1160.000	0.00506980947	1
2015-02-02 15:51	23.140	28.956	444.000	1169.800	0.00507897170	1
2015-02-02 15:52	23.100	29.000	444.000	1176.167	0.00507436213	1
2015-02-02 15:53	23.100	29.075	444.000	1175.250	0.00508759282	1
2015-02-02 15:53	23.100	28.918	444.000	1166.600	0.00505989721	1
2015-02-02 15:55	23.100	27.925	444.000	1140.250	0.00488478355	1
2015-02-02 15:55	23.060	27.772	444.000	1089.200	0.00484597891	1
2015-02-02 15:56	23.020	27.556	435.000	1042.600	0.00479628400	1
2015-02-02 15:58	23.010	27.819	432.000	1051.100	0.00483943510	1
2015-02-02 15:59	23.000	28.082	429.000	1059.600	0.00488253792	1
2015-02-02 16:00	23.000	27.956	429.000	1064.600	0.00486051761	1
2015-02-02 16:01	22.982	27.908	429.000	1061.667	0.00484674149	1
2015-02-02 16:01	23.000	27.927	429.000	1058.333	0.00485537781	1
2015-02-02 16:02	23.000	28.018	429.000	1061.600	0.00487138154	1
2015-02-02 16:04	22.982	28.067	429.000	1070.333	0.00487445417	1
2015-02-02 16:05	22.945	28.100	429.000	1074.000	0.00486938125	1
2015-02-02 16:06	23.000	28.100	429.000	1086.250	0.00488575056	1
2015-02-02 16:07	22.956	28.200	429.000	1089.600	0.00489012796	1
2015-02-02 16:08	22.973	28.100	429.000	1085.000	0.00487755984	1
2015-02-02 16:08	22.945	28.133	429.000	1085.000	0.00487520277	1
2015-02-02 16:09	23.000	28.200	429.000	1088.000	0.00490327463	1
2015-02-02 16:11	22.945	28.200	429.000	1091.750	0.00488684615	1
2015-02-02 16:12	23.000	28.133	429.000	1091.333	0.00489159181	1
2015-02-02 16:13	22.912	28.100	429.000	1088.200	0.00485958291	1
2015-02-02 16:14	22.890	28.100	429.000	1087.500	0.00485306035	1
2015-02-02 16:14	22.890	27.956	432.000	1079.200	0.00482799753	1
2015-02-02 16:15	22.865	27.840	432.750	1077.250	0.00480047643	1
2015-02-02 16:17	22.873	27.683	439.000	1064.167	0.00477568424	1
2015-02-02 16:18	22.873	27.600	429.000	1056.400	0.00476119827	1
2015-02-02 16:19	22.890	27.600	432.750	1043.600	0.00476604528	1
2015-02-02 16:20	22.815	27.445	432.750	1039.500	0.00471742235	1
2015-02-02 16:21	22.840	27.373	436.500	1028.667	0.00471219954	1
2015-02-02 16:21	22.790	27.365	438.000	1020.400	0.00469639045	1
2015-02-02 16:23	22.790	27.200	444.000	1018.000	0.00466786058	1
2015-02-02 16:24	22.790	27.171	435.429	1015.143	0.00466292061	1
2015-02-02 16:25	22.790	27.067	434.000	1006.333	0.00464480804	1
2015-02-02 16:25	22.790	27.020	432.000	1002.600	0.00463674006	1
2015-02-02 16:27	22.772	26.934	438.000	993.200	0.00461679349	1
2015-02-02 16:27	22.760	26.823	439.000	983.333	0.00459431462	1
2015-02-02 16:28	22.700	26.754	432.000	976.200	0.00456558277	1
2015-02-02 16:30	22.723	26.700	432.750	980.750	0.00456256926	1
2015-02-02 16:31	22.700	26.683	434.000	971.333	0.00455343519	1
